13115000	1587000	473000	

13115000	1587000	473000	

4.6	1	2	

200	186	220	142	169	176	
210	186	201	142	180	176	
200	300	201	100	169	176	
160	186	220	142	169	150	
15	14	16	12	11	14	
15	14	10	12	35	50	
15	20	16	12	11	14	
33	44	16	12	11	14	
19	12	16	70	12	60	
85	12	16	17	10	10	
19	40	16	30	10	10	
19	12	16	17	10	90	

5343000	5343000	5343000	5343000	5343000	5343000	
5343000	5343000	5343000	5343000	5343000	5343000	
5343000	5343000	5343000	5343000	5343000	5343000	
5343000	5343000	5343000	5343000	5343000	5343000	
1113000	1113000	1113000	1113000	1113000	1113000	
1113000	1113000	1113000	1113000	1113000	1113000	
1113000	1113000	1113000	1113000	1113000	1113000	
1113000	1113000	1113000	1113000	1113000	1113000	
365900	365900	365900	365900	365900	365900	
365900	365900	365900	365900	365900	365900	
365900	365900	365900	365900	365900	365900	
365900	365900	365900	365900	365900	365900	

28700000	28700000	28700000	28700000	28700000	28700000	
28700000	28700000	28700000	28700000	28700000	28700000	
28700000	28700000	28700000	28700000	28700000	28700000	
28700000	28700000	28700000	28700000	28700000	28700000	
2052000	2052000	2052000	2052000	2052000	2052000	
2052000	2052000	2052000	2052000	2052000	2052000	
2052000	2052000	2052000	2052000	2052000	2052000	
2052000	2052000	2052000	2052000	2052000	2052000	
815000	815000	815000	815000	815000	815000	
815000	815000	815000	815000	815000	815000	
815000	815000	815000	815000	815000	815000	
815000	815000	815000	815000	815000	815000	

0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	

72	72	72	72	72	72	
72	72	72	72	72	72	
72	72	72	72	72	72	
72	72	72	72	72	72	
72	72	72	72	72	72	
72	72	72	72	72	72	
72	72	72	72	72	72	
72	72	72	72	72	72	
72	72	72	72	72	72	
72	72	72	72	72	72	
72	72	72	72	72	72	
72	72	72	72	72	72	

0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	

540	540	540	540	540	540	
540	540	540	540	540	540	
540	540	540	540	540	540	
540	540	540	540	540	540	
540	648	648	648	648	648	
648	648	648	648	648	648	
648	648	648	648	648	648	
648	648	648	648	648	648	
648	648	720	720	720	720	
720	720	720	720	720	720	
720	720	720	720	720	720	
720	720	720	720	720	720	

2	2	2	2	
2	2	2	2	2	
2	2	2	2	2	

5	5	5	5	
5	5	5	5	5	
5	5	5	5	5	

3	3	3	3	
3	3	3	3	3	
3	3	3	3	3	

2	3	3	

1	1	1	
