300 360 360 360 300 300 240 150 100 45 90 120 150 52 60 120 

1300 1560 1560 1560 1800 1800 1040 650 600 195 390 720 900 227 260 720 

6 6 6 6 6 6 6 4 4 1 1 4 4 1 1 4 

5 5 5 5 5 5 5 3 3 1 1 3 3 1 1 3 

9 9 9 9 9 9 9 8 8 3 3 6 6 3 3 4 

5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	

825 650 950 960 900 750 950 550 550 30 12 625 550 30 12 440 

2877 2110 3050 3160 3000 2850 3250 1920 1730 40 37 1805 2250 55 32 1640 

1800 1200 1200 1200 1300 1200 700 500 500 150 300 600 750 175 200 600 

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

1000 1200 1200 1200 1500 1500 800 500 500 150 300 600 750 175 200 600 

0.0015 0.0016 0.0016 0.0016 0.0013 0.0013 0.0015 0.0015 0.0015 0.0019 0.0018 0.0017 0.0015 0.0019 0.0018 0.0017 

8.752 7.654 7.654 7.654 6.052 6.052 9.072 8.752 8.752 12.54 11.62 9.543 8.352 13 14.62 9.543 

1013.7082 1216.4498 1216.4498 1216.4498 1403.5959 1403.5959 810.96652 731.25 467.8653 608.22489 304.11245 561.43836 701.79795 708.03615 810.96652 561.43836

5 5 5 5 5 5 5 3 3 -1 -1 -4 -4 -1 -1 -4 

300 360 360 360 300 300 240 150 100 0 0 0 0 0 0 0 

