1	3	3	3	4	5	7	8	9	25	26	29	30	31	31	31
32	34	34	34	35	36	38	39	40	56	57	60	61	62	62	62
63	65	65	65	66	67	69	70	71	87	88	91	92	93	93	93
94	96	96	96	97	98	100	101	102	118	119	122	123	124	124	124

10	11	18	19	20	25	26	27	28	30	31
41	42	49	50	51	56	57	58	59	61	62
72	73	80	81	82	87	88	89	90	92	93
103	104	111	112	113	118	119	120	121	123	124

1 3 26 27 31
34 39 55 56
65 68 77 80 88 91 92
95 96 111 112 114 121

0.024	0.024	0.361	0.036	0.012	0.024	0.265	0.062	0.024	0.048	0.12
0.024	0.024	0.361	0.036	0.012	0.024	0.265	0.062	0.024	0.048	0.12
0.024	0.024	0.361	0.036	0.012	0.024	0.265	0.062	0.024	0.048	0.12
0.024	0.024	0.361	0.036	0.012	0.024	0.265	0.062	0.024	0.048	0.12


1000 1000 1000 2000 2000 1500 1500 1200 2400 1200 
1200 1000 1000 1000 1000 2000 1000 1000 1780 1780 
1200 800 1200 2500 500 200 1000 1000 1000 900 
1250 1250 1000 500 1200 800 600 1000 700 
1000 1000 1000 2000 2000 1500 1500 1200 2400 1200 
1200 1000 1000 1000 1000 2000 1000 1000 1780 1780 
1200 800 1200 2500 500 200 1000 1000 1000 900 
1250 1250 1000 500 1200 800 600 1000 700 
1000 1000 1000 2000 2000 1500 1500 1200 2400 1200 
1200 1000 1000 1000 1000 2000 1000 1000 1780 1780 
1200 1000 1200 2500 1500 1200 1000 1000 1000 900 
1250 1250 1000 1200 1200 800 1200 1000 1200 
1000 1000 1000 2000 2000 1500 1500 1200 2400 1200 
1200 1000 1000 1000 1000 2000 1000 1000 1780 1780 
1200 1000 1200 2500 1500 1200 1000 1000 1000 900 
1250 1250 1000 1200 1200 800 1200 1000 1200 
